id,name_with_owner,url,created_at,updated_at,primary_language,stargazer_count,pull_requests,releases,issues_rate
MDEwOlJlcG9zaXRvcnkxMTI1MDcwODY=,30-seconds/30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code,5,0,JavaScript,115369,777,5,0.9860627177700348
MDEwOlJlcG9zaXRvcnk4ODAxMTkwOA==,practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,6,0,None,114992,182,0,0.7125
MDEwOlJlcG9zaXRvcnkyMzA5Njk1OQ==,golang/go,https://github.com/golang/go,9,0,Go,114072,1,0,0.8575158651934084
MDEwOlJlcG9zaXRvcnkyOTAyODc3NQ==,facebook/react-native,https://github.com/facebook/react-native,8,0,C++,111567,722,274,0.9417948924514622
MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=,huggingface/transformers,https://github.com/huggingface/transformers,4,2,Python,111245,10409,124,0.9531484554001738
MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==,vercel/next.js,https://github.com/vercel/next.js,6,1,JavaScript,111125,13842,1000,0.8806628584356089
MDEwOlJlcG9zaXRvcnk5Mzg0MjY3,electron/electron,https://github.com/electron/electron,10,5,C++,108987,17905,1000,0.9570162323793251
MDEwOlJlcG9zaXRvcnkyMTU0MDc1OQ==,avelino/awesome-go,https://github.com/avelino/awesome-go,9,1,Go,107558,3009,0,0.9982876712328768
MDEwOlJlcG9zaXRvcnkxMzgzOTMxMzk=,trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,5,0,None,106410,122,0,0
MDEwOlJlcG9zaXRvcnk5NDMxNDk=,d3/d3,https://github.com/d3/d3,12,0,Shell,106172,463,193,0.9981498612395929
MDEwOlJlcG9zaXRvcnkxNDA5ODA2OQ==,justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,9,2,None,104648,280,3,0
MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==,axios/axios,https://github.com/axios/axios,9,2,JavaScript,101495,756,61,0.9084539934609995
MDEwOlJlcG9zaXRvcnkyMDU4MDQ5OA==,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,9,0,Go,101343,56182,623,0.9583266695606479
R_kgDOH3JoLw,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,1,0,Python,100795,1390,16,0.7770649558941459
